Stand;RaumID;RaumName;AgeGroup;Overall;male;female;german;german_male;german_female;non_german;non_german_male;non_german_female
31.12.2019;09;Bayern;60 bis unter 65 Jahre;859379;425098;434281;795247;392414;402833;64132;32684;31448
31.12.2019;09;Bayern;65 bis unter 70 Jahre;713774;340217;373557;660643;318151;342492;53131;22066;31065
31.12.2019;09;Bayern;70 bis unter 75 Jahre;576732;271153;305579;529886;248295;281591;46846;22858;23988
31.12.2019;09;Bayern;75 bis unter 80 Jahre;573099;259745;313354;543628;243963;299665;29471;15782;13689
31.12.2019;09;Bayern;80 bis unter 85 Jahre;481379;202533;278846;465182;194025;271157;16197;8508;7689
31.12.2019;09;Bayern;85 bis unter 90 Jahre;229901;84501;145400;223607;81245;142362;6294;3256;3038
31.12.2019;09;Bayern;90 Jahre und mehr;120219;34058;86161;117365;32969;84396;2854;1089;1765
31.12.2019;10;Saarland;unter 3 Jahre;24549;12604;11945;20501;10525;9976;4048;2079;1969
31.12.2019;10;Saarland;3 bis unter 6 Jahre;24580;12634;11946;20456;10492;9964;4124;2142;1982
31.12.2019;10;Saarland;6 bis unter 10 Jahre;31180;16111;15069;26201;13468;12733;4979;2643;2336
31.12.2019;10;Saarland;10 bis unter 15 Jahre;40106;20752;19354;34591;17837;16754;5515;2915;2600
31.12.2019;10;Saarland;15 bis unter 18 Jahre;25275;13150;12125;22175;11494;10681;3100;1656;1444
31.12.2019;10;Saarland;18 bis unter 20 Jahre;18524;9691;8833;16039;8273;7766;2485;1418;1067
31.12.2019;10;Saarland;20 bis unter 25 Jahre;52043;27461;24582;42109;21630;20479;9934;5831;4103
31.12.2019;10;Saarland;25 bis unter 30 Jahre;58375;30497;27878;47015;24239;22776;11360;6258;5102
31.12.2019;10;Saarland;30 bis unter 35 Jahre;59692;31013;28679;48739;24937;23802;10953;6076;4877
31.12.2019;10;Saarland;35 bis unter 40 Jahre;57430;29459;27971;47531;24156;23375;9899;5303;4596
31.12.2019;10;Saarland;40 bis unter 45 Jahre;52824;26156;26668;43552;21637;21915;9272;4519;4753
31.12.2019;10;Saarland;45 bis unter 50 Jahre;57911;28532;29379;49154;24249;24905;8757;4283;4474
31.12.2019;10;Saarland;50 bis unter 55 Jahre;80413;39847;40566;72746;36000;36746;7667;3847;3820
31.12.2019;10;Saarland;55 bis unter 60 Jahre;87404;43274;44130;81407;40245;41162;5997;3029;2968
31.12.2019;10;Saarland;60 bis unter 65 Jahre;78606;38937;39669;74122;36648;37474;4484;2289;2195
31.12.2019;10;Saarland;65 bis unter 70 Jahre;67914;32835;35079;64224;31134;33090;3690;1701;1989
31.12.2019;10;Saarland;70 bis unter 75 Jahre;47626;22626;25000;44773;21053;23720;2853;1573;1280
31.12.2019;10;Saarland;75 bis unter 80 Jahre;46640;20490;26150;44831;19514;25317;1809;976;833
31.12.2019;10;Saarland;80 bis unter 85 Jahre;44082;17872;26210;42890;17223;25667;1192;649;543
31.12.2019;10;Saarland;85 bis unter 90 Jahre;21011;7608;13403;20470;7354;13116;541;254;287
31.12.2019;10;Saarland;90 Jahre und mehr;10702;2870;7832;10441;2766;7675;261;104;157
31.12.2019;11;Berlin;unter 3 Jahre;116834;60089;56745;97673;50229;47444;19161;9860;9301
31.12.2019;11;Berlin;3 bis unter 6 Jahre;112940;57757;55183;92331;47238;45093;20609;10519;10090
31.12.2019;11;Berlin;6 bis unter 10 Jahre;134465;69124;65341;109732;56385;53347;24733;12739;11994
31.12.2019;11;Berlin;10 bis unter 15 Jahre;155306;79903;75403;132016;67847;64169;23290;12056;11234
31.12.2019;11;Berlin;15 bis unter 18 Jahre;86329;44474;41855;73794;37790;36004;12535;6684;5851
31.12.2019;11;Berlin;18 bis unter 20 Jahre;62069;31754;30315;50518;25334;25184;11551;6420;5131
31.12.2019;11;Berlin;20 bis unter 25 Jahre;202015;100796;101219;140301;68614;71687;61714;32182;29532
31.12.2019;11;Berlin;25 bis unter 30 Jahre;280135;139336;140799;179648;87481;92167;100487;51855;48632
31.12.2019;11;Berlin;30 bis unter 35 Jahre;333561;168782;164779;233246;115919;117327;100315;52863;47452
31.12.2019;11;Berlin;35 bis unter 40 Jahre;292312;149498;142814;216778;109588;107190;75534;39910;35624
31.12.2019;11;Berlin;40 bis unter 45 Jahre;238403;121754;116649;179933;91409;88524;58470;30345;28125
31.12.2019;11;Berlin;45 bis unter 50 Jahre;220620;112295;108325;169613;86038;83575;51007;26257;24750
31.12.2019;11;Berlin;50 bis unter 55 Jahre;262286;133265;129021;220694;111568;109126;41592;21697;19895
31.12.2019;11;Berlin;55 bis unter 60 Jahre;262524;131876;130648;230272;115003;115269;32252;16873;15379
31.12.2019;11;Berlin;60 bis unter 65 Jahre;204167;100287;103880;181799;89073;92726;22368;11214;11154
31.12.2019;11;Berlin;65 bis unter 70 Jahre;182822;84200;98622;165972;76968;89004;16850;7232;9618
31.12.2019;11;Berlin;70 bis unter 75 Jahre;143172;65150;78022;129044;59102;69942;14128;6048;8080
31.12.2019;11;Berlin;75 bis unter 80 Jahre;168304;74391;93913;158878;69758;89120;9426;4633;4793
31.12.2019;11;Berlin;80 bis unter 85 Jahre;125221;51090;74131;119484;48277;71207;5737;2813;2924
31.12.2019;11;Berlin;85 bis unter 90 Jahre;55915;20454;35461;53323;19256;34067;2592;1198;1394
31.12.2019;11;Berlin;90 Jahre und mehr;30091;7998;22093;28376;7358;21018;1715;640;1075
31.12.2019;12;Brandenburg;unter 3 Jahre;62959;32308;30651;57673;29553;28120;5286;2755;2531
31.12.2019;12;Brandenburg;3 bis unter 6 Jahre;69028;35506;33522;63739;32761;30978;5289;2745;2544
31.12.2019;12;Brandenburg;6 bis unter 10 Jahre;91336;46928;44408;85091;43680;41411;6245;3248;2997
31.12.2019;12;Brandenburg;10 bis unter 15 Jahre;111074;57135;53939;104508;53659;50849;6566;3476;3090
